R,algorithm,date,iteration,seed,size,β,γ
5,fastSD,20211123104241_466,322483,16376605606778870,100,1.5,0.1
5,fastSD,20211123104255_983,337381,16376605752478660,100,1.5,0.1
5,fastSD,20211123104427_774,187141,16376606673488008,100,1.5,0.1
5,fastSD,20211123104445_445,382047,16376606845662500,100,1.5,0.1
5,fastSD,20211123104502_708,6970488,16376606854642470,100,1.5,0.1
5,fastSD,20211123104503_681,392002,16376607027090098,100,1.5,0.1
5,fastSD,20211123104513_708,218882,16376607131681990,100,1.5,0.1
5,fastSD,20211123104514_454,310925,16376607137090362,100,1.5,0.1
5,fastSD,20211123104716_1,318619,16376608352507740,100,1.5,0.1
5,fastSD,20211123104819_578,350916,16376608986899640,100,1.5,0.1
5,fastSD,20211123104831_206,368053,16376609103829770,100,1.5,0.1
5,fastSD,20211123105017_645,3857952,16376610084008360,100,1.5,0.1
5,fastSD,20211123105034_85,384789,16376610339532350,100,1.5,0.1
5,fastSD,20211123105036_216,576905,16376610348514990,100,1.5,0.1
5,fastSD,20211123105159_386,1603538,16376611156780800,100,1.5,0.1
5,fastSD,20211123105216_715,24931,16376611366533280,100,1.5,0.1
5,fastSD,20211123105223_484,402348,16376611425154860,100,1.5,0.1
5,fastSD,20211123105238_423,310557,16376611577477940,100,1.5,0.1
5,fastSD,20211123105238_983,249692,16376611584240230,100,1.5,0.1
5,fastSD,20211123105247_298,323787,16376611664603580,100,1.5,0.1
5,fastSD,20211123105909_442,210073,16376615488587310,80,1.5,0.1
5,fastSD,20211123105913_914,1488451,16376615494439850,80,1.5,0.1
5,fastSD,20211123105919_305,1162543,16376615558190940,80,1.5,0.1
5,fastSD,20211123110034_251,153625,16376616338614630,80,1.5,0.1
5,fastSD,20211123110036_598,204649,16376616361164480,80,1.5,0.1
5,fastSD,20211123110036_973,155321,16376616365996640,80,1.5,0.1
5,fastSD,20211123110041_22,154819,16376616408452790,80,1.5,0.1
5,fastSD,20211123110043_2,818443,16376616412211230,80,1.5,0.1
5,fastSD,20211123110043_685,197996,16376616432219630,80,1.5,0.1
5,fastSD,20211123110126_059,64627,16376616859098440,80,1.5,0.1
5,fastSD,20211123110210_672,204324,16376617301710300,80,1.5,0.1
5,fastSD,20211123110215_147,499542,16376617338875770,80,1.5,0.1
5,fastSD,20211123110225_113,140834,16376617447879320,80,1.5,0.1
5,fastSD,20211123110226_062,401768,16376617451327260,80,1.5,0.1
5,fastSD,20211123110228_574,217355,16376617480890630,80,1.5,0.1
5,fastSD,20211123110240_116,149398,16376617597440900,80,1.5,0.1
5,fastSD,20211123110240_513,162488,16376617601180630,80,1.5,0.1
5,fastSD,20211123110240_563,25525,16376617605137630,80,1.5,0.1
5,fastSD,20211123110313_149,195272,16376617926653308,80,1.5,0.1
5,fastSD,20211123110314_992,162993,16376617946067350,80,1.5,0.1
5,fastSD,20211123110744_055,1075645,16376620612342680,80,1.5,0.1
5,fastSD,20211123110754_418,160630,16376620740358520,80,1.5,0.1
5,fastSD,20211123110755_84,578590,16376620744193830,80,1.5,0.1
5,fastSD,20211123110910_757,163289,16376621503731812,80,1.5,0.1
5,fastSD,20211123110952_028,137895,16376621917155490,80,1.5,0.1
5,fastSD,20211123110953_993,155979,16376621936205270,80,1.5,0.1
5,fastSD,20211123110958_199,182893,16376621977900490,80,1.5,0.1
5,fastSD,20211123110958_973,235406,16376621984442502,80,1.5,0.1
5,fastSD,20211123111010_132,31769,16376622100484260,80,1.5,0.1
5,fastSD,20211123111022_116,166757,16376622217527620,80,1.5,0.1
5,fastSD,20211123111025_684,69662,16376622255345768,80,1.5,0.1
5,fastSD,20211123111027_293,66347,16376622271536220,80,1.5,0.1
5,fastSD,20211123111027_631,153418,16376622272945060,80,1.5,0.1
5,fastSD,20211123111032_542,184998,16376622320657770,80,1.5,0.1
5,fastSD,20211123111111_798,337604,16376622709227992,80,1.5,0.1
5,fastSD,20211123111112_184,155954,16376622717989950,80,1.5,0.1
5,fastSD,20211123111112_651,196209,16376622721858470,80,1.5,0.1
5,fastSD,20211123111121_535,290534,16376622807985650,80,1.5,0.1
5,fastSD,20211123111121_66,53546,16376622815384970,80,1.5,0.1
5,fastSD,20211123111123_65,153168,16376622833290960,80,1.5,0.1
5,fastSD,20211123111226_713,37216,16376623465903790,80,1.5,0.1
5,fastSD,20211123111228_972,158659,16376623484673160,80,1.5,0.1
