R,algorithm,date,iteration,seed,size
10000,RLSSDstar,20211119181333_861,58055,16373420137570650,100
10000,RLSSDstar,20211119181334_522,79175,16373420143825400,100
10000,RLSSDstar,20211119181336_912,128507,16373420166437680,100
10000,RLSSDstar,20211119181338_124,53253,16373420180207250,100
10000,RLSSDstar,20211119181338_255,59823,16373420181610780,100
10000,RLSSDstar,20211119181338_375,57407,16373420182564722,100
10000,RLSSDstar,20211119181338_45,48311,16373420183760670,100
10000,RLSSDstar,20211119181339_112,55955,16373420190317810,100
10000,RLSSDstar,20211119181339_203,49134,16373420191135140,100
10000,RLSSDstar,20211123100831_345,48059,16376585112471480,100
10000,RLSSDstar,20211123100832_695,47982,16376585126262030,100
10000,RLSSDstar,20211123100832_799,48069,16376585127133610,100
10000,RLSSDstar,20211123100850_661,50693,16376585305697360,100
10000,RLSSDstar,20211123100900_588,57978,16376585405004740,100
10000,RLSSDstar,20211123100914_021,116200,16376585538234900,100
10000,RLSSDstar,20211123100914_271,57130,16376585541727080,100
10000,RLSSDstar,20211123100914_543,49404,16376585544589118,100
10000,RLSSDstar,20211123100915_855,65756,16376585557575660,100
10000,RLSSDstar,20211123100916_465,48068,16376585563807120,100
10000,RLSSDstar,20211123100916_719,48178,16376585566381440,100
10000,RLSSDstar,20211123100920_983,55938,16376585609036000,100
10000,RLSSDstar,20211123100921_406,57306,16376585613238140,100
10000,RLSSDstar,20211123100922_485,50667,16376585624133000,100
10000,RLSSDstar,20211123100922_699,50461,16376585626129360,100
10000,RLSSDstar,20211123100922_766,47943,16376585627000670,100
10000,RLSSDstar,20211123100923_283,48269,16376585632136850,100
10000,RLSSDstar,20211123100924_32,48149,16376585642388420,100
10000,RLSSDstar,20211123100924_396,53417,16376585643213450,100
10000,RLSSDstar,20211123100924_507,51430,16376585644349390,100
10000,RLSSDstar,20211123100925_647,51418,16376585655602018,100
10000,RLSSDstar,20211123100925_806,51877,16376585657327230,100
10000,RLSSDstar,20211123100927_489,55364,16376585673968900,100
10000,RLSSDstar,20211123100927_623,80031,16376585674908580,100
10000,RLSSDstar,20211123100927_808,48349,16376585677421820,100
10000,RLSSDstar,20211123100927_886,48272,16376585678095030,100
10000,RLSSDstar,20211123100928_023,82566,16376585678871260,100
10000,RLSSDstar,20211123100928_566,53377,16376585684913630,100
10000,RLSSDstar,20211123100929_201,49043,16376585691184240,100
10000,RLSSDstar,20211123100932_547,48667,16376585724743360,100
10000,RLSSDstar,20211123100932_841,107049,16376585725488600,100
10000,RLSSDstar,20211123100933_087,48642,16376585729671422,100
10000,RLSSDstar,20211123100933_503,49453,16376585734164742,100
10000,RLSSDstar,20211123100935_209,48142,16376585750685640,100
10000,RLSSDstar,20211123100940_491,52812,16376585804137950,100
10000,RLSSDstar,20211123100943_963,50061,16376585838864130,100
10000,RLSSDstar,20211123100944_629,71736,16376585844786660,100
10000,RLSSDstar,20211123100944_904,55113,16376585848064720,100
10000,RLSSDstar,20211123100945_757,56033,16376585856684530,100
10000,RLSSDstar,20211123100946_052,52651,16376585859560140,100
10000,RLSSDstar,20211123100946_231,91543,16376585860536870,100
10000,RLSSDstar,20211123100946_348,51753,16376585862714890,100
10000,RLSSDstar,20211123100948_874,94031,16376585886975030,100
10000,RLSSDstar,20211123100949_12,49380,16376585890521728,100
10000,RLSSDstar,20211123100951_202,49193,16376585911328730,100
10000,RLSSDstar,20211123100951_521,48959,16376585914504400,100
10000,RLSSDstar,20211123100951_911,67028,16376585917975180,100
10000,RLSSDstar,20211123100952_36,50037,16376585922884950,100
10000,RLSSDstar,20211123100956_604,48501,16376585965337730,100
10000,RLSSDstar,20211123100957_026,49000,16376585969266990,100
10000,RLSSDstar,20211123100957_132,48414,16376585970495550,100
10000,RLSSDstar,20211123100957_274,70600,16376585971532660,100
10000,RLSSDstar,20211123100957_541,60500,16376585974332400,100
10000,RLSSDstar,20211123101000_257,49501,16376586001879700,100
10000,RLSSDstar,20211123101000_578,48273,16376586005107820,100
10000,RLSSDstar,20211123101002_506,49298,16376586024246850,100
10000,RLSSDstar,20211123101002_807,48232,16376586027266720,100
10000,RLSSDstar,20211123101002_881,49251,16376586028129890,100
10000,RLSSDstar,20211123101003_007,48648,16376586029420090,100
10000,RLSSDstar,20211123101003_094,52043,16376586030080080,100
10000,RLSSDstar,20211123101003_215,73252,16376586030952560,100
10000,RLSSDstar,20211123101003_335,71413,16376586032160922,100
10000,RLSSDstar,20211123101003_537,120764,16376586033367760,100
10000,RLSSDstar,20211123101003_792,48192,16376586037204060,100
10000,RLSSDstar,20211123101003_913,55732,16376586038234680,100
10000,RLSSDstar,20211123101004_351,61904,16376586042491390,100
10000,RLSSDstar,20211123101004_497,84538,16376586043524490,100
10000,RLSSDstar,20211123101004_836,111164,16376586046294430,100
10000,RLSSDstar,20211123101004_971,78940,16376586048376100,100
10000,RLSSDstar,20211123101007_401,50979,16376586073146210,100
10000,RLSSDstar,20211123101008_565,51562,16376586084808372,100
10000,RLSSDstar,20211123101010_31,142999,16376586100596430,100
10000,RLSSDstar,20211123101010_446,51044,16376586103744522,100
10000,RLSSDstar,20211123101016_269,77169,16376586161284480,100
10000,RLSSDstar,20211123101016_409,63939,16376586162706100,100
10000,RLSSDstar,20211123101016_678,48557,16376586165966740,100
10000,RLSSDstar,20211123101016_806,48043,16376586167272870,100
10000,RLSSDstar,20211123101017_966,50524,16376586178872048,100
10000,RLSSDstar,20211123101018_084,67348,16376586179704910,100
10000,RLSSDstar,20211123101018_156,51303,16376586180849080,100
10000,RLSSDstar,20211123101018_25,51214,16376586181691900,100
10000,RLSSDstar,20211123101018_365,66897,16376586182517828,100
10000,RLSSDstar,20211123101018_865,54652,16376586187726210,100
10000,RLSSDstar,20211123101018_983,48637,16376586189089810,100
10000,RLSSDstar,20211123101020_143,49383,16376586200604802,100
