algorithm,date,iteration,seed,size,temperature
SimulatedAnnealing,20211212191831_683,99751,16393331115239170,50,-1.0
SimulatedAnnealing,20211212191831_684,72,16393331116845110,50,-1.0
SimulatedAnnealing,20211212191831_699,7469,16393331116857150,50,-1.0
SimulatedAnnealing,20211212191831_7,63,16393331117005500,50,-1.0
SimulatedAnnealing,20211212191840_691,5239068,16393331117015820,50,-1.0
SimulatedAnnealing,20211212191841_964,764252,16393331206925730,50,-1.0
SimulatedAnnealing,20211212191841_965,108,16393331219650260,50,-1.0
SimulatedAnnealing,20211212191841_978,7095,16393331219659988,50,-1.0
SimulatedAnnealing,20211212191843_068,652397,16393331219795130,50,-1.0
SimulatedAnnealing,20211212191843_069,98,16393331230690810,50,-1.0
SimulatedAnnealing,20211212191852_533,5756818,16393331230702118,50,-1.0
SimulatedAnnealing,20211212191900_67,4809361,16393331325339010,50,-1.0
SimulatedAnnealing,20211212191911_241,6350211,16393331406714370,50,-1.0
SimulatedAnnealing,20211212191911_879,366553,16393331512427840,50,-1.0
SimulatedAnnealing,20211212191911_88,93,16393331518805210,50,-1.0
SimulatedAnnealing,20211212191913_181,766326,16393331518815220,50,-1.0
SimulatedAnnealing,20211212191916_717,2104293,16393331531826550,50,-1.0
SimulatedAnnealing,20211212191918_778,1225922,16393331567185040,50,-1.0
SimulatedAnnealing,20211212191918_779,152,16393331587793860,50,-1.0
SimulatedAnnealing,20211212191920_337,783128,16393331587804360,50,-1.0
SimulatedAnnealing,20211212191930_972,6384182,16393331603384810,50,-1.0
SimulatedAnnealing,20211212191937_56,3483383,16393331709977500,50,-1.0
SimulatedAnnealing,20211212191950_967,8190116,16393331775613330,50,-1.0
SimulatedAnnealing,20211212191951_911,583131,16393331909683630,50,-1.0
SimulatedAnnealing,20211212191952_856,538336,16393331919122100,50,-1.0
SimulatedAnnealing,20211212191952_857,141,16393331928570730,50,-1.0
SimulatedAnnealing,20211212192003_555,6479011,16393331928583810,50,-1.0
SimulatedAnnealing,20211212192003_698,90223,16393332035560852,50,-1.0
SimulatedAnnealing,20211212192004_897,716629,16393332036999790,50,-1.0
SimulatedAnnealing,20211212192005_659,429806,16393332048986950,50,-1.0
SimulatedAnnealing,20211212192016_729,6683069,16393332056602970,50,-1.0
SimulatedAnnealing,20211212192016_731,82,16393332167307680,50,-1.0
SimulatedAnnealing,20211212192016_731,99,16393332167316800,50,-1.0
SimulatedAnnealing,20211212192025_371,5253955,16393332167326378,50,-1.0
SimulatedAnnealing,20211212192026_587,718297,16393332253719120,50,-1.0
SimulatedAnnealing,20211212192029_236,1553213,16393332265881550,50,-1.0
SimulatedAnnealing,20211212192059_388,18127157,16393332292371718,50,-1.0
SimulatedAnnealing,20211212192101_532,1270638,16393332593897470,50,-1.0
SimulatedAnnealing,20211212192116_563,9046292,16393332615331870,50,-1.0
SimulatedAnnealing,20211212192117_252,421315,16393332765639132,50,-1.0
SimulatedAnnealing,20211212192120_636,1908695,16393332772534240,50,-1.0
SimulatedAnnealing,20211212192120_638,99,16393332806378190,50,-1.0
SimulatedAnnealing,20211212192120_964,134564,16393332806389280,50,-1.0
SimulatedAnnealing,20211212192123_462,1191959,16393332809653570,50,-1.0
SimulatedAnnealing,20211212192147_282,12257799,16393332834634358,50,-1.0
SimulatedAnnealing,20211212192147_362,78,16393333073585330,50,-1.0
SimulatedAnnealing,20211212192158_506,6175067,16393333074061320,50,-1.0
SimulatedAnnealing,20211212192208_408,5564461,16393333185083920,50,-1.0
SimulatedAnnealing,20211212192208_41,107,16393333284104322,50,-1.0
SimulatedAnnealing,20211212192217_266,5052405,16393333284131990,50,-1.0
SimulatedAnnealing,20211212192217_465,123290,16393333372677140,50,-1.0
SimulatedAnnealing,20211212192217_843,219455,16393333374661340,50,-1.0
SimulatedAnnealing,20211212192219_088,734608,16393333378443980,50,-1.0
SimulatedAnnealing,20211212192219_203,48252,16393333390894092,50,-1.0
SimulatedAnnealing,20211212192222_347,1868672,16393333392068750,50,-1.0
SimulatedAnnealing,20211212192222_357,4501,16393333423481070,50,-1.0
SimulatedAnnealing,20211212192222_358,115,16393333423577160,50,-1.0
SimulatedAnnealing,20211212192222_359,99,16393333423588750,50,-1.0
SimulatedAnnealing,20211212192225_912,1996519,16393333423612690,50,-1.0
SimulatedAnnealing,20211212192225_913,131,16393333459134610,50,-1.0
SimulatedAnnealing,20211212192228_024,1283819,16393333459143080,50,-1.0
SimulatedAnnealing,20211212192237_969,6022242,16393333480256320,50,-1.0
SimulatedAnnealing,20211212192239_035,620976,16393333579704230,50,-1.0
SimulatedAnnealing,20211212192239_036,94,16393333590365060,50,-1.0
SimulatedAnnealing,20211212192239_53,279087,16393333590374228,50,-1.0
SimulatedAnnealing,20211212192242_549,1764020,16393333595310668,50,-1.0
SimulatedAnnealing,20211212192246_208,2154717,16393333625501780,50,-1.0
SimulatedAnnealing,20211212192310_269,13566191,16393333662089940,50,-1.0
SimulatedAnnealing,20211212192310_27,114,16393333902703568,50,-1.0
SimulatedAnnealing,20211212192310_666,226408,16393333902715630,50,-1.0
SimulatedAnnealing,20211212192311_096,249116,16393333906675350,50,-1.0
SimulatedAnnealing,20211212192311_097,76,16393333910972550,50,-1.0
SimulatedAnnealing,20211212192730_951,12798001,16393336287104430,50,-1.0
SimulatedAnnealing,20211212192754_587,13956287,16393336509528310,50,-1.0
SimulatedAnnealing,20211212205700_074,541736,16393390190564490,150,-1.0
SimulatedAnnealing,20211212205700_524,216172,16393390200766420,100,-1.0
SimulatedAnnealing,20211212211029_201,457055,16393398275129010,70,-1.0
SimulatedAnnealing,20211212211030_581,21874,16393398305459700,50,-1.0
SimulatedAnnealing,20211212211031_055,4483,16393398310474100,50,-1.0
SimulatedAnnealing,20211212211031_197,20946,16393398311400950,70,-1.0
SimulatedAnnealing,20211212211031_57,2449,16393398315667100,50,-1.0
SimulatedAnnealing,20211212211031_835,156032,16393398315763062,70,-1.0
SimulatedAnnealing,20211212211031_903,36186,16393398318370010,70,-1.0
SimulatedAnnealing,20211212211032_062,90355,16393398319138492,70,-1.0
SimulatedAnnealing,20211212211032_127,27610,16393398320853240,70,-1.0
SimulatedAnnealing,20211212211032_142,7444,16393398321287910,70,-1.0
SimulatedAnnealing,20211212211032_19,27392,16393398321452190,70,-1.0
SimulatedAnnealing,20211212211032_239,9362,16393398322234080,70,-1.0
SimulatedAnnealing,20211212211032_407,104529,16393398322401310,50,-1.0
SimulatedAnnealing,20211212211032_441,575,16393398324406360,50,-1.0
SimulatedAnnealing,20211212211032_488,20291,16393398324423420,50,-1.0
SimulatedAnnealing,20211212211032_503,8597,16393398324896230,50,-1.0
SimulatedAnnealing,20211212211032_579,50450,16393398325043700,50,-1.0
SimulatedAnnealing,20211212211032_587,4641,16393398325803110,50,-1.0
SimulatedAnnealing,20211212211032_642,23707,16393398326001690,70,-1.0
SimulatedAnnealing,20211212211032_645,718,16393398326437650,50,-1.0
SimulatedAnnealing,20211212211207_207,2678,16393399271986410,50,-1.0
SimulatedAnnealing,20211212211207_371,10756,16393399273495540,50,-1.0
SimulatedAnnealing,20211212211223_863,6607172,16393399274731570,70,-1.0
SimulatedAnnealing,20211212211440_052,58147651,16393399438640270,70,-1.0
SimulatedAnnealing,20211212211440_175,6870,16393400801583820,50,-1.0
SimulatedAnnealing,20211212211440_242,22359,16393400802009758,50,-1.0
SimulatedAnnealing,20211212211440_251,4619,16393400802431140,50,-1.0
SimulatedAnnealing,20211212211447_128,2911714,16393400802524090,70,-1.0
SimulatedAnnealing,20211212211447_28,44381,16393400871955910,70,-1.0
SimulatedAnnealing,20211212211453_506,2672301,16393400873424650,70,-1.0
SimulatedAnnealing,20211212211453_813,75714,16393400936413520,50,-1.0
SimulatedAnnealing,20211212211504_826,4718626,16393400938340320,70,-1.0
SimulatedAnnealing,20211212211504_967,42822,16393401048271780,70,-1.0
SimulatedAnnealing,20211212211504_987,6976,16393401049700040,50,-1.0
SimulatedAnnealing,20211212211511_595,2845185,16393401049881170,70,-1.0
SimulatedAnnealing,20211212211532_753,8962770,16393401116625170,70,-1.0
SimulatedAnnealing,20211212211532_896,7751,16393401328802650,50,-1.0
SimulatedAnnealing,20211212211532_929,17605,16393401328973310,50,-1.0
SimulatedAnnealing,20211212211602_494,12859239,16393401329363338,70,-1.0
SimulatedAnnealing,20211212211602_53,10710,16393401625094970,50,-1.0
SimulatedAnnealing,20211212211602_719,40577,16393401625571548,50,-1.0
SimulatedAnnealing,20211212211602_807,26034,16393401627589760,70,-1.0
SimulatedAnnealing,20211212211602_902,32614,16393401628417088,70,-1.0
SimulatedAnnealing,20211212211602_92,7961,16393401629029270,50,-1.0
SimulatedAnnealing,20211212211602_957,9210,16393401629373830,50,-1.0
SimulatedAnnealing,20211212211602_981,12418,16393401629582890,50,-1.0
SimulatedAnnealing,20211212211603_305,140826,16393401629859250,50,-1.0
SimulatedAnnealing,20211212211603_319,6611,16393401633064730,70,-1.0
SimulatedAnnealing,20211212211612_751,4049287,16393401633241910,70,-1.0
SimulatedAnnealing,20211212211612_81,28582,16393401727527248,70,-1.0
SimulatedAnnealing,20211212211612_832,8479,16393401728117980,50,-1.0
SimulatedAnnealing,20211212211612_883,20465,16393401728423418,70,-1.0
SimulatedAnnealing,20211212211612_966,43662,16393401728845360,70,-1.0
SimulatedAnnealing,20211212211612_985,9434,16393401729672440,50,-1.0
SimulatedAnnealing,20211212211613_472,112853,16393401729863030,50,-1.0
SimulatedAnnealing,20211212211613_487,2893,16393401734803200,50,-1.0
SimulatedAnnealing,20211212211613_512,8672,16393401734955890,50,-1.0
