R,algorithm,date,iteration,seed,size
10000,ea1p1SD,20211215101546_455,2731,16395597464492550,100
10000,ea1p1SD,20211215101546_464,3009,16395597464566670,100
10000,ea1p1SD,20211215101547_217,1617,16395597472143062,100
10000,ea1p1SD,20211215101548_033,288695,16395597473786622,100
10000,ea1p1SD,20211215101548_305,106499,16395597480343220,100
10000,ea1p1SD,20211215101548_706,162984,16395597483059990,100
10000,ea1p1SD,20211215101548_734,3808,16395597487277870,100
10000,ea1p1SD,20211215101548_899,3431,16395597488913630,100
10000,ea1p1SD,20211215101549_31,161628,16395597488999910,100
10000,ea1p1SD,20211215101551_445,1455,16395597514427650,100
10000,ea1p1SD,20211215101552_266,184258,16395597518298560,100
10000,ea1p1SD,20211215101552_715,68874,16395597525714468,100
10000,ea1p1SD,20211215101553_148,49602,16395597530408830,100
10000,ea1p1SD,20211215101554_362,44362,16395597542610878,100
10000,ea1p1SD,20211215101554_781,134584,16395597543636840,100
10000,ea1p1SD,20211215101723_734,1864,16395598437300100,100
10000,ea1p1SD,20211215101723_741,2707,16395598437358510,100
10000,ea1p1SD,20211215101723_746,1257,16395598437441420,100
10000,ea1p1SD,20211215101723_75,1819,16395598437476680,100
10000,ea1p1SD,20211215101723_819,1625,16395598438169392,100
10000,ea1p1SD,20211215101723_824,2066,16395598438207410,100
10000,ea1p1SD,20211215101724_021,66467,16395598438260090,100
10000,ea1p1SD,20211215101724_023,967,16395598440222340,100
10000,ea1p1SD,20211215101725_267,970,16395598452660648,100
10000,ea1p1SD,20211215101725_271,1309,16395598452686600,100
10000,ea1p1SD,20211215101726_122,81886,16395598459256950,100
10000,ea1p1SD,20211215101726_132,3012,16395598461268590,100
10000,ea1p1SD,20211215101726_55,8646,16395598465337810,100
10000,ea1p1SD,20211215101726_602,967,16395598466006340,100
10000,ea1p1SD,20211215101726_606,1440,16395598466034328,100
10000,ea1p1SD,20211215101727_636,19760,16395598475959130,100
10000,ea1p1SD,20211215101728_048,965,16395598480468730,100
10000,ea1p1SD,20211215101728_107,1504,16395598480632780,100
10000,ea1p1SD,20211215101728_352,115763,16395598481079050,100
10000,ea1p1SD,20211215101728_563,78915,16395598483533120,100
10000,ea1p1SD,20211215101808_289,4317,16395598882791160,100
10000,ea1p1SD,20211215101808_792,105709,16395598884684830,100
10000,ea1p1SD,20211215101809_154,125513,16395598887934730,100
10000,ea1p1SD,20211215101811_2,176037,16395598907703720,100
10000,ea1p1SD,20211215101811_407,1292,16395598914050630,100
10000,ea1p1SD,20211215101811_684,18929,16395598916438820,100
10000,ea1p1SD,20211215101811_686,971,16395598916849680,100
10000,ea1p1SD,20211215101816_23,4067,16395598962230750,100
10000,ea1p1SD,20211215101816_513,4744,16395598965041708,100
10000,ea1p1SD,20211215101817_834,4293,16395598978269090,100
10000,ea1p1SD,20211215101817_839,1581,16395598978358108,100
10000,ea1p1SD,20211215101818_442,162737,16395598980558060,100
10000,ea1p1SD,20211215101819_378,12906,16395598993505610,100
10000,ea1p1SD,20211215101821_213,13131,16395599011848670,100
10000,ea1p1SD,20211215101821_895,2962,16395599018896180,100
10000,ea1p1SD,20211215101841_559,539982,16395599201538760,100
10000,ea1p1SD,20211215101842_459,364406,16395599215601900,100
10000,ea1p1SD,20211215103046_695,283473,16395606450042110,100
10000,ea1p1SD,20211215103053_459,1438874,16395606497579752,100
10000,ea1p1SD,20211215103107_478,1548127,16395606636563590,100
10000,ea1p1SD,20211215103126_806,28241,16395606867318740,100
10000,ea1p1SD,20211215103133_663,38442,16395606935814190,100
10000,ea1p1SD,20211215103230_163,300151,16395607493701388,100
10000,ea1p1SD,20211215103249_524,694645,16395607678912480,100
10000,ea1p1SD,20211215103250_167,4985,16395607701598470,100
10000,ea1p1SD,20211215103250_242,31800,16395607701683580,100
10000,ea1p1SD,20211215103303_617,646023,16395607820971760,100
10000,ea1p1SD,20211215103415_492,71880,16395608553373820,100
10000,ea1p1SD,20211215103511_557,696271,16395609098533730,100
10000,ea1p1SD,20211215103538_35,16108,16395609383200470,100
10000,ea1p1SD,20211215103538_573,91557,16395609383719790,100
10000,ea1p1SD,20211215103538_941,159202,16395609385740280,100
10000,ea1p1SD,20211215103838_742,313407,16395611179925000,100
10000,ea1p1SD,20211215103838_747,1880,16395611187444230,100
10000,ea1p1SD,20211215103838_755,3912,16395611187486228,100
10000,ea1p1SD,20211215103843_457,1235,16395611234547840,100
10000,ea1p1SD,20211215103848_689,1891,16395611286856980,100
10000,ea1p1SD,20211215103949_486,1199,16395611894843960,100
10000,ea1p1SD,20211215103951_413,653552,16395611895104470,100
10000,ea1p1SD,20211215103951_421,3762,16395611914148810,100
10000,ea1p1SD,20211215103953_293,699345,16395611914222550,100
10000,ea1p1SD,20211215103957_676,1531158,16395611933766380,100
10000,ea1p1SD,20211215103957_717,1194,16395611977155080,100
10000,ea1p1SD,20211215104059_863,251256,16395612591770188,100
10000,ea1p1SD,20211215104106_899,2985,16395612668943680,100
10000,ea1p1SD,20211215104107_281,56738,16395612671385110,100
10000,ea1p1SD,20211215104107_313,1140,16395612673115110,100
10000,ea1p1SD,20211215104114_683,4052,16395612746765060,100
10000,ea1p1SD,20211215104114_818,929,16395612748164150,100
10000,ea1p1SD,20211215104140_285,1956,16395613002812970,100
10000,ea1p1SD,20211215104209_528,1461602,16395613251392130,100
10000,ea1p1SD,20211215104215_857,861,16395613358557630,100
10000,ea1p1SD,20211215104215_861,1200,16395613358581110,100
10000,ea1p1SD,20211215104216_064,1214,16395613360621840,100
10000,ea1p1SD,20211215104230_041,1488457,16395613460398920,100
10000,ea1p1SD,20211215104230_609,196909,16395613500428690,100
10000,ea1p1SD,20211215104230_622,1499,16395613506197290,100
10000,ea1p1SD,20211215104852_647,1623,16395617326285190,100
10000,ea1p1SD,20211215104855_605,5391,16395617355959630,100
10000,ea1p1SD,20211215104934_477,126481,16395617741863730,100
10000,ea1p1SD,20211215104934_841,24538,16395617747896420,100
10000,ea1p1SD,20211215105030_758,3184288,16395618216476222,100
10000,ea1p1SD,20211215105032_364,6346,16395618323526630,100
10000,ea1p1SD,20220109120816_45,766,16417174964053330,100
10000,ea1p1SD,20220109120817_652,1557,16417174976499578,100
10000,ea1p1SD,20220109120817_668,1235,16417174976650692,100
10000,ea1p1SD,20220109120822_754,387023,16417175018162940,100
10000,ea1p1SD,20220109120826_439,1458059,16417175027777910,100
10000,ea1p1SD,20220109120827_101,2029,16417175070950860,100
10000,ea1p1SD,20220109120828_324,2725,16417175083188250,100
10000,ea1p1SD,20220109120833_794,398015,16417175128184180,100
10000,ea1p1SD,20220109120833_804,3355,16417175137987968,100
10000,ea1p1SD,20220109120835_265,1682,16417175152460420,100
10000,ea1p1SD,20220109120835_451,1978,16417175154481562,100
10000,ea1p1SD,20220109120835_458,1244,16417175154567180,100
10000,ea1p1SD,20220109120835_821,158865,16417175154595270,100
10000,ea1p1SD,20220109120836_279,11653,16417175162564850,100
10000,ea1p1SD,20220109120837_46,1416,16417175174576750,100
10000,ea1p1SD,20220109120837_463,1005,16417175174614450,100
10000,ea1p1SD,20220109120838_41,1710,16417175183914400,100
10000,ea1p1SD,20220109120838_425,2646,16417175184214240,100
10000,ea1p1SD,20220109120838_498,1825,16417175184951570,100
10000,ea1p1SD,20220109120838_518,10251,16417175184990570,100
10000,ea1p1SD,20220109121729_018,17613,16417180489800388,100
