algorithm,date,iteration,seed,size
ea1p1,20211119180233_001,114528,16373413528489840,100
ea1p1,20211119180233_106,64798,16373413530019810,100
ea1p1,20211119180233_184,60612,16373413531085082,100
ea1p1,20211119180233_835,185437,16373413531901110,100
ea1p1,20211119180234_723,1884,16373413547210250,100
ea1p1,20211119180234_912,69772,16373413547997710,100
ea1p1,20211119180235_419,179947,16373413551006442,100
ea1p1,20211119180236_137,386943,16373413555191660,100
ea1p1,20211119180236_25,22147,16373413562185170,100
ea1p1,20211119180236_432,107566,16373413562515250,100
ea1p1,20211119180236_452,13069,16373413564334390,100
ea1p1,20211119180236_662,15846,16373413566389800,100
ea1p1,20211119180236_687,12167,16373413566635050,100
ea1p1,20211119180236_904,122189,16373413566881930,100
ea1p1,20211119180237_998,634965,16373413569071320,100
ea1p1,20211119180238_391,4075,16373413583866050,100
ea1p1,20211119180238_725,175199,16373413584675700,100
ea1p1,20211119180239_173,209778,16373413588812010,100
ea1p1,20211119180239_367,3316,16373413593621230,100
ea1p1,20211119180239_599,842,16373413595982620,100
ea1p1,20211119180239_711,87072,16373413596003480,100
ea1p1,20211119180239_842,83630,16373413597122960,100
ea1p1,20211119180240_711,491264,16373413599233540,100
ea1p1,20211119180240_722,7887,16373413607127030,100
ea1p1,20211119180241_331,238807,16373413609810240,100
ea1p1,20211119180241_693,180353,16373413614426110,100
ea1p1,20211119180242_636,718247,16373413616941790,100
ea1p1,20211119180243_32,351409,16373413627665170,100
ea1p1,20211119180243_376,38677,16373413633213230,100
ea1p1,20211119180243_41,22608,16373413633775320,100
ea1p1,20211119180243_912,174511,16373413636527520,100
ea1p1,20211119180243_917,3928,16373413639134520,100
ea1p1,20211119180718_805,55627,16373416387223598,100
ea1p1,20211119180719_102,23638,16373416390739370,100
ea1p1,20211119180719_482,54215,16373416392819740,100
ea1p1,20211119180719_524,15754,16373416394832530,100
ea1p1,20211119180719_641,80523,16373416395249010,100
ea1p1,20211119180719_841,78961,16373416396418340,100
ea1p1,20211119180719_929,24150,16373416398426690,100
ea1p1,20211119180720_205,4788,16373416401935940,100
ea1p1,20211119180745_18,1614607,16373416631361410,100
ea1p1,20211119180745_286,39391,16373416651815260,100
ea1p1,20211119180746_02,202039,16373416654601172,100
ea1p1,20211119180746_263,52775,16373416661251130,100
ea1p1,20211119180746_512,7239,16373416664920640,100
ea1p1,20211119180746_549,14022,16373416665131440,100
ea1p1,20211119180746_567,12019,16373416665502490,100
ea1p1,20211119180746_617,38503,16373416665683630,100
ea1p1,20211119180746_66,15524,16373416666185160,100
ea1p1,20211119180747_001,87073,16373416667541740,100
ea1p1,20211119180747_066,52846,16373416670026500,100
ea1p1,20211119180747_17,71656,16373416670674360,100
ea1p1,20211119180747_462,230534,16373416671710120,100
ea1p1,20211119180747_477,5866,16373416674629100,100
ea1p1,20211119180747_614,101691,16373416674778540,100
ea1p1,20211119180750_661,1152284,16373416676160560,100
ea1p1,20211119180750_76,6145,16373416707532660,100
ea1p1,20211119180751_032,33707,16373416709283370,100
ea1p1,20211119180751_204,3931,16373416711814260,100
ea1p1,20211119180751_34,20227,16373416713144960,100
ea1p1,20211119180752_054,488007,16373416714351580,100
ea1p1,20211119180752_058,2712,16373416720554170,100
ea1p1,20211119180752_552,189124,16373416720593938,100
ea1p1,20211119180752_66,43592,16373416725535660,100
ea1p1,20211119180752_811,117793,16373416726610250,100
ea1p1,20211119180754_365,1157475,16373416729108450,100
ea1p1,20211119180754_488,42073,16373416743665112,100
ea1p1,20211119180754_583,1993,16373416745722110,100
